codigoCredito,codigoOficina,tipoCredito,sector,destinoCredito,fechaAperturaMin,fechaAperturaMax,montoApertura,numeroCuotas,interes,condicionCredito,esDeudor,cuentaUnica,periodos
035710000346,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-04-29,2017-08-08,4000.0,12,1029.18,NORMAL,1,1,sem2
035710067089,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-30,2017-11-30,3078.0,12,628.9,NORMAL,0,1,sem2
035710059961,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-21,2017-11-21,3120.0,12,701.97,NORMAL,0,1,sem2
035710054756,035,RECUPERADO,PYMES,AFINFORMAL,2017-11-10,2017-11-10,20000.0,24,6640.97,NORMAL,0,1,sem4
035710054145,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-08,2017-11-08,3078.0,12,736.51,VENCIDO,1,1,sem2
035710057791,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-17,2017-11-17,1060.0,10,266.77,NORMAL,1,1,sem2
035710054137,035,NUEVO,CONSUMO,CONSUMO,2017-11-08,2017-11-08,2060.0,12,651.54,NORMAL,1,1,sem2
035710056009,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-13,2017-11-13,12000.0,15,3244.02,NORMAL,1,1,sem3
035710051554,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-01-10,2017-11-21,2000.0,12,553.54,NORMAL,0,1,sem2
035710051620,035,RECUPERADO,CONSUMO,CONSUMO,2017-02-03,2017-11-22,4000.0,12,852.3,NORMAL,0,1,sem2
035710051638,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-06-28,2017-11-11,5000.0,12,1213.65,NORMAL,1,1,sem2
035710051661,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-05-11,2017-11-20,3060.0,12,683.43,NORMAL,0,1,sem2
035710051802,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-07-13,2018-06-09,12000.0,18,4014.96,NORMAL,0,0,sem3
035710051869,035,RECURRENTE,MICROEMPRESA,CTFORMAL,2017-03-08,2018-01-24,7000.0,12,1418.75,NORMAL,0,0,sem2
035710051919,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-07-11,2018-05-28,8000.0,18,2445.26,NORMAL,0,0,sem3
035710051950,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-05-16,2018-02-17,4000.0,12,1024.75,NORMAL,0,0,sem2
035710051968,035,RECURRENTE,CONSUMO,CONSUMO,2017-07-18,2017-12-04,1000.0,12,253.78,NORMAL,0,1,sem2
035710052008,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-07-19,2018-06-20,3000.0,18,1231.34,NORMAL,0,0,sem3
035710052024,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-06-30,2017-11-29,2000.0,15,849.93,VENCIDO+120DIAS,1,0,sem3
035710052123,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-05-10,2018-02-24,3500.0,12,841.64,VENCIDO,1,0,sem2
035710052149,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-07-04,2017-11-20,3000.0,12,682.93,NORMAL,0,1,sem2
035710052198,035,RECUPERADO,MICROEMPRESA,CTINFORMAL,2017-11-13,2017-11-13,6000.0,10,1336.53,VENCIDO+120DIAS,1,1,sem2
035710052248,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-01-14,2018-02-13,2500.0,12,780.21,NORMAL,0,0,sem2
035710052263,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-24,2017-11-24,7000.0,18,2126.73,NORMAL,0,1,sem3
035710052305,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-06-09,2018-06-11,2500.0,12,779.33,NORMAL,1,0,sem2
035710052446,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-07-24,2017-11-10,3000.0,12,547.86,NORMAL,0,1,sem2
035710052461,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-07-11,2017-11-22,4000.0,18,1474.11,NORMAL,0,1,sem3
035710054327,035,NUEVO,MICROEMPRESA,CTINFORMAL,2017-11-08,2017-11-08,3000.0,12,920.31,VENCIDO,1,1,sem2
035710054350,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-08,2017-11-08,15060.0,24,6279.0,NORMAL,0,1,sem4
035710058880,035,RECURRENTE,MICROEMPRESA,AFINFORMAL,2017-11-17,2017-11-17,20000.0,18,5632.08,NORMAL,0,1,sem3
035710055589,035,RECUPERADO,MICROEMPRESA,CTINFORMAL,2017-11-11,2017-11-11,3000.0,12,722.15,NORMAL,0,1,sem2
035710054913,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-09,2017-11-09,10000.0,12,2267.06,CASTIGADO(V),1,1,sem2
035710056033,035,NUEVO,MICROEMPRESA,AFINFORMAL,2017-11-15,2017-11-15,20000.0,24,7537.09,NORMAL,1,1,sem4
035710061900,035,RECURRENTE,MICROEMPRESA,CTINFORMAL,2017-11-24,2017-11-24,6000.0,12,1321.79,NORMAL,0,1,sem2
035710055563,035,RECUPERADO,MICROEMPRESA,AFINFORMAL,2017-11-18,2017-11-18,3060.0,12,762.24,NORMAL,1,1,sem2
